dataset,num_parties,epsilon,num_epochs,marginal_tv_avg,workload_error,ml_utility_f1,ml_logistic_regression_f1,ml_random_forest_f1,ml_gradient_boosting_f1,ml_mlp_f1,ml_decision_tree_f1,throughput_rps,comm_uncompressed_bytes,comm_compressed_bytes,comm_savings_pct,training_loss_final,elapsed_sec,num_parties_exp
adult,5,1.0,50,0.4055070871263432,0.9246167846008114,0.4644464023700608,0.3952732644017725,0.4954651464109873,0.4813008130081301,0.4343916830570385,0.5158011049723757,3852.972976945385,1687680,434385,74.26141211604096,0.07793209276029042,389.93044924736023,5
adult,10,1.0,50,0.4323289159175374,0.9561270119530956,0.5892867201880887,0.5708022797018851,0.6090357911206727,0.6196903533148075,0.5623779561727056,0.5845272206303725,3919.7454312669092,3375360,931004,72.41763841486537,0.07659528777003288,390.566260099411,10
adult,20,1.0,50,0.4085241284366012,0.974711611998581,0.5935692725607452,0.577022977022977,0.6007976794778825,0.6203208556149733,0.6055546089623445,0.5641502417255485,3856.1291829165816,6750720,1985030,70.59528465111869,0.07732834879841123,390.2573781013489,20
adult,50,1.0,50,0.42111960492704476,1.0487019668838622,0.40834430639864827,0.29860228716645487,0.4089732528041415,0.4124742571344513,0.5543021455430215,0.36736958934517205,3708.893315146866,16876800,5360750,68.23598075464542,0.07641769200563431,387.2975103855133,50
adult,100,1.0,50,0.43810960495862034,1.1106590099941982,0.4470122582816676,0.35953026196928634,0.4716042920701387,0.4571271022883926,0.5457343887423043,0.4010652463382157,3780.6427095490635,33753600,11107535,67.09229534034888,0.07743185332843236,379.75696754455566,100
