dataset,num_parties,epsilon,num_epochs,marginal_tv_avg,workload_error,ml_utility_f1,ml_logistic_regression_f1,ml_random_forest_f1,ml_gradient_boosting_f1,ml_mlp_f1,ml_decision_tree_f1,throughput_rps,comm_uncompressed_bytes,comm_compressed_bytes,comm_savings_pct,training_loss_final,elapsed_sec
adult,10,1.0,100,0.3729835081038582,0.8931154574343183,0.47869742693504536,0.4043173862310385,0.47702991452991456,0.49511228533685603,0.4992466097438473,0.5177809388335705,4805.806882209548,3375360,931004,72.41763841486537,0.07132942495601517,915.3597910404205
bank,10,1.0,100,0.160786829163994,0.41587271592848357,0.051852395264808004,0.047247220368818066,0.05025861262114339,0.05390992855176105,0.051667856365760705,0.0561783584165568,4294.2777930158645,3930800,1511418,61.549353821105115,0.12949019839817827,1282.3398942947388
acs_pums,10,1.0,100,0.1666133333333333,0.4336005797764414,0.051497347733063956,0.039826442902492695,0.054477517755478086,0.05915950877469401,0.050393601951939586,0.053629667280715394,4650.729886579869,4383680,1640460,62.578016643550626,0.12860523660977682,1554.726359128952
credit,10,1.0,100,0.16946666666666668,0.4500911919924277,0.05031932561839908,0.045385676165290184,0.05136072664224575,0.05536219944371182,0.04733125010204568,0.05215677573870198,4637.74218255966,4950720,1709970,65.46017548962575,0.13046310309852874,1074.2548418045044
mushroom,10,1.0,100,0.3260689818095914,0.6995383534908116,0.23755374336999333,0.22600764686877484,0.21619688338407725,0.2471192593858987,0.2527757161837398,0.24566921102747616,4380.477393754328,267040,189369,29.08590473337328,0.09641849994659424,46.34955716133118
shopping,10,1.0,100,0.9401111111111111,1.9256248312021267,0.04984139867510127,0.049255139471670234,0.05076998311360037,0.05064073801053385,0.04742172979462729,0.05111940298507463,2923.6973098218373,1095680,522792,52.28606892523364,0.0,1.7522239685058594
diabetes,10,1.0,100,0.16803708333333334,0.42936438650654485,0.0512297335780991,0.0502691644249247,0.04867157339186089,0.0541766082065467,0.04550514245875528,0.05752617940840794,4167.125590188233,4163280,1616599,61.17006302722854,0.12725931002448002,1577.744555234909
covertype,10,1.0,100,0.17345291666666665,0.4381462115796267,0.15567606436553597,0.12412888808255085,0.14733325840485031,0.1482043988051336,0.18760620359434346,0.17110757294080156,4021.0282425602945,4515280,1695615,62.447179355433114,0.13145276935150227,1528.8641510009766
